"gisjoin","year","state","county","statefips","countyfips","year.new","owner_occupied_1_01_to_1_50_occupants_per_room","owner_occupied_1_51_to_2_00_occupants_per_room","owner_occupied_2_01_or_more_occupants_per_room","renter_occupied_1_01_to_1_50_occupants_per_room","renter_occupied_1_51_to_2_00_occupants_per_room","renter_occupied_2_01_or_more_occupants_per_room","built_1939_or_earlier","median_gross_rent","X35_to_64_years_with_one_type_of_health_insurance_coverage_with_medicare_coverage_only","X35_to_64_years_with_one_type_of_health_insurance_coverage_with_medicaid_means_tested_public_coverage_only","X35_to_64_years_with_one_type_of_health_insurance_coverage_with_va_health_care_only","X35_to_64_years_with_two_or_more_types_of_health_insurance_coverage_with_medicare_and_medicaid_means_tested_public_coverage","X35_to_64_years_with_two_or_more_types_of_health_insurance_coverage_other_public_only_combinations","X35_to_64_years_no_health_insurance_coverage","X65_years_and_over_with_one_type_of_health_insurance_coverage_with_medicare_coverage_only","X65_years_and_over_with_one_type_of_health_insurance_coverage_with_va_health_care_only","X65_years_and_over_with_two_or_more_types_of_health_insurance_coverage_with_medicare_and_medicaid_means_tested_public_coverage","X65_years_and_over_with_two_or_more_types_of_health_insurance_coverage_other_public_only_combinations","X65_years_and_over_no_health_insurance_coverage","male_35_to_64_years_with_a_disability","male_65_to_74_years_with_a_disability","female_35_to_64_years_with_a_disability","female_65_to_74_years_with_a_disability"
"g0100010",2013,"alabama","autauga county",1,1,2013,169,4,0,212,46,0,577,"851",425,712,116,493,57,2767,1496,0,429,186,7,1923,506,2009,757
"g0100030",2013,"alabama","baldwin county",1,3,2013,397,84,30,631,146,98,2753,"876",1211,1959,508,891,294,13005,8568,0,873,656,134,5113,2756,5421,2247
"g0100050",2013,"alabama","barbour county",1,5,2013,58,52,13,31,29,0,1081,"587",356,830,53,293,36,1772,817,0,480,51,58,1142,387,1025,440
"g0100070",2013,"alabama","bibb county",1,7,2013,21,0,0,9,0,0,690,"568",529,489,9,499,1,1477,972,0,416,73,23,1026,238,857,271
"g0100090",2013,"alabama","blount county",1,9,2013,145,48,14,97,0,8,1122,"600",504,1090,208,611,141,3175,2540,0,753,170,88,2394,877,2158,879
"g0100110",2013,"alabama","bullock county",1,11,2013,4,0,127,3,0,0,460,"492",78,587,85,113,10,1139,349,16,233,76,0,457,110,370,183
"g0100130",2013,"alabama","butler county",1,13,2013,31,6,0,29,0,7,943,"560",535,547,19,374,9,1389,890,10,466,91,6,905,331,1108,298
"g0100150",2013,"alabama","calhoun county",1,15,2013,120,52,3,273,70,0,3399,"615",1469,2835,383,1666,285,7435,3094,0,1080,265,186,4988,1916,5347,1921
"g0100170",2013,"alabama","chambers county",1,17,2013,78,1,0,118,97,171,2234,"635",724,1036,147,529,34,2881,1338,0,856,125,0,1654,578,1707,601
"g0100190",2013,"alabama","cherokee county",1,19,2013,39,87,0,105,0,5,923,"609",550,648,45,333,72,2036,1009,0,300,66,9,1359,494,1438,477
"g0100210",2013,"alabama","chilton county",1,21,2013,259,71,43,164,63,4,886,"626",728,850,178,371,40,3053,1731,11,615,107,0,1799,607,1634,725
"g0100230",2013,"alabama","choctaw county",1,23,2013,42,13,0,42,0,0,485,"593",379,446,48,300,10,987,696,0,344,71,0,791,281,805,362
"g0100250",2013,"alabama","clarke county",1,25,2013,40,49,0,142,9,7,980,"479",362,715,31,560,31,2167,1035,0,548,128,21,848,305,971,419
"g0100270",2013,"alabama","clay county",1,27,2013,17,6,0,21,18,79,742,"424",292,352,46,200,0,940,454,0,187,34,0,631,289,710,171
"g0100290",2013,"alabama","cleburne county",1,29,2013,58,0,0,64,18,159,536,"574",207,237,33,258,6,1373,693,0,322,32,0,640,261,699,231
"g0100310",2013,"alabama","coffee county",1,31,2013,114,23,2,51,27,13,802,"647",434,886,119,479,79,2948,1437,0,490,208,107,1874,780,1662,757
"g0100330",2013,"alabama","colbert county",1,33,2013,85,37,21,146,70,0,1870,"617",831,1017,135,590,49,3419,1762,0,785,172,17,1958,791,2679,955
"g0100350",2013,"alabama","conecuh county",1,35,2013,7,0,0,44,0,0,962,"525",311,258,14,367,32,1160,1062,13,250,44,0,768,309,648,326
"g0100370",2013,"alabama","coosa county",1,37,2013,26,23,0,29,0,0,510,"574",197,322,51,99,24,819,311,0,169,6,0,463,242,606,191
"g0100390",2013,"alabama","covington county",1,39,2013,132,35,11,107,29,0,1674,"579",695,771,134,411,12,2999,1933,0,703,127,7,1774,604,1831,830
"g0100410",2013,"alabama","crenshaw county",1,41,2013,35,0,2,52,2,0,602,"505",239,304,38,230,53,928,491,0,269,47,0,517,229,628,302
"g0100430",2013,"alabama","cullman county",1,43,2013,138,35,15,247,60,11,2367,"605",734,1246,110,805,164,6209,3089,0,1108,214,18,3297,1195,3011,1190
"g0100450",2013,"alabama","dale county",1,45,2013,90,0,33,116,12,9,1194,"616",520,690,133,558,47,3268,1054,0,481,101,58,1903,847,2342,886
"g0100470",2013,"alabama","dallas county",1,47,2013,175,24,21,236,206,464,1603,"537",491,2298,157,983,64,3044,1405,0,1025,97,0,1975,397,2333,840
"g0100490",2013,"alabama","dekalb county",1,49,2013,379,112,72,84,122,123,1476,"518",986,1055,177,1184,139,5204,2570,11,1470,178,21,2326,908,2930,877
"g0100510",2013,"alabama","elmore county",1,51,2013,157,117,0,159,30,0,1428,"774",505,802,98,443,46,3359,1719,8,476,47,13,2315,838,2625,822
"g0100530",2013,"alabama","escambia county",1,53,2013,24,5,2,80,6,12,828,"582",836,893,134,469,76,3308,1413,0,652,98,11,1695,530,1655,797
"g0100550",2013,"alabama","etowah county",1,55,2013,239,141,69,271,18,0,4885,"615",1610,2481,365,1581,190,7392,3703,0,1363,288,69,4884,1488,4912,1657
"g0100570",2013,"alabama","fayette county",1,57,2013,70,29,0,0,0,0,603,"451",267,489,81,275,39,1342,756,0,257,51,0,936,350,890,481
"g0100590",2013,"alabama","franklin county",1,59,2013,78,52,38,251,58,0,764,"527",579,559,49,424,0,2804,1115,0,556,82,0,1289,587,1421,657
"g0100610",2013,"alabama","geneva county",1,61,2013,156,34,0,66,17,0,1046,"573",450,571,56,348,78,2068,1221,0,491,165,22,1373,470,1186,546
"g0100630",2013,"alabama","greene county",1,63,2013,111,22,0,0,0,0,286,"428",135,461,22,260,47,689,236,0,354,21,27,550,190,453,139
"g0100650",2013,"alabama","hale county",1,65,2013,56,15,0,32,23,0,507,"426",334,499,56,277,89,1109,523,0,449,46,15,704,266,830,302
"g0100670",2013,"alabama","henry county",1,67,2013,61,0,0,0,0,0,691,"545",270,439,46,210,6,1118,680,0,373,44,18,808,334,894,271
"g0100690",2013,"alabama","houston county",1,69,2013,130,33,31,275,33,8,1611,"663",1145,1941,252,1025,130,6919,3261,2,1268,318,88,3523,1359,3933,1690
"g0100710",2013,"alabama","jackson county",1,71,2013,152,11,0,16,86,38,1258,"516",632,853,76,1044,60,4500,2349,0,910,151,34,2100,1012,2373,917
"g0100730",2013,"alabama","jefferson county",1,73,2013,827,91,88,1977,396,106,27840,"809",6770,13015,2911,6052,1211,36951,21756,45,7018,1690,277,19960,5570,22481,7508
"g0100750",2013,"alabama","lamar county",1,75,2013,37,14,0,81,5,0,575,"447",309,254,35,172,1,1065,537,0,240,82,0,680,330,550,308
"g0100770",2013,"alabama","lauderdale county",1,77,2013,142,27,31,94,37,0,2374,"588",1075,1767,210,812,104,5263,3327,0,1080,131,99,3331,1366,3333,1516
"g0100790",2013,"alabama","lawrence county",1,79,2013,86,16,0,43,0,0,809,"531",450,687,21,306,56,2225,1187,0,711,20,88,1665,497,1926,719
"g0100810",2013,"alabama","lee county",1,81,2013,294,27,19,489,108,29,1585,"767",951,1251,222,889,176,6960,2589,0,1083,167,40,3261,1277,3740,1260
"g0100830",2013,"alabama","limestone county",1,83,2013,265,78,12,138,181,0,1663,"615",691,1103,68,650,36,5099,2292,0,851,195,0,2271,1029,2367,1057
"g0100850",2013,"alabama","lowndes county",1,85,2013,55,0,0,47,3,68,217,"534",159,327,26,263,19,966,412,0,272,29,0,528,194,589,213
"g0100870",2013,"alabama","macon county",1,87,2013,43,69,4,29,0,26,703,"584",181,903,113,62,26,1386,636,8,397,74,0,1010,248,1028,398
"g0100890",2013,"alabama","madison county",1,89,2013,358,133,33,714,399,90,4369,"744",2130,2966,707,1756,368,18604,6502,10,1540,489,83,8798,3059,8951,3384
"g0100910",2013,"alabama","marengo county",1,91,2013,117,0,0,15,11,0,864,"527",337,634,68,368,27,1170,799,0,373,25,27,1147,406,1271,381
"g0100930",2013,"alabama","marion county",1,93,2013,91,0,15,91,40,0,907,"477",514,572,44,449,4,1920,1207,0,515,157,0,1591,588,1746,629
"g0100950",2013,"alabama","marshall county",1,95,2013,366,80,29,436,145,25,2075,"594",920,1781,306,1121,67,7139,2897,26,1362,176,93,3249,1363,3684,1537
"g0100970",2013,"alabama","mobile county",1,97,2013,928,242,22,1591,380,152,9212,"756",4607,8087,1248,3886,347,30006,15078,25,4488,1160,113,13771,4635,16328,5279
"g0100990",2013,"alabama","monroe county",1,99,2013,14,7,0,65,8,0,573,"536",460,801,121,414,14,2042,910,0,512,60,27,856,359,1016,340
"g0101010",2013,"alabama","montgomery county",1,101,2013,304,48,31,933,235,59,6745,"812",1612,4542,683,1986,293,11938,5313,0,2488,508,75,6935,2068,8636,2795
"g0101030",2013,"alabama","morgan county",1,103,2013,358,46,9,478,31,8,2661,"603",659,1774,275,995,167,8049,3485,40,1000,324,112,3765,1566,4087,1497
"g0101050",2013,"alabama","perry county",1,105,2013,26,2,0,45,67,110,713,"461",340,362,38,190,0,681,181,0,415,11,54,607,179,743,211
"g0101070",2013,"alabama","pickens county",1,107,2013,19,16,16,69,56,0,725,"412",266,594,92,287,13,1110,730,0,461,73,0,1267,441,1007,311
"g0101090",2013,"alabama","pike county",1,109,2013,68,0,19,102,37,0,997,"587",291,649,109,333,21,1550,989,12,415,112,25,766,375,1133,439
"g0101110",2013,"alabama","randolph county",1,111,2013,136,4,0,72,94,70,1202,"588",315,520,60,232,23,1908,882,0,384,78,0,986,462,788,369
"g0101130",2013,"alabama","russell county",1,113,2013,49,64,13,157,28,42,1566,"712",616,1186,187,525,193,4260,1568,0,923,122,44,2539,846,2424,754
"g0101150",2013,"alabama","st. clair county",1,115,2013,317,48,62,208,0,0,1027,"757",657,1593,346,824,166,4342,3030,0,646,227,45,2639,1167,4048,1169
"g0101170",2013,"alabama","shelby county",1,117,2013,306,68,27,313,50,74,1135,"917",943,1638,366,668,89,8264,5064,17,814,334,256,4744,1822,5208,1884
"g0101190",2013,"alabama","sumter county",1,119,2013,40,0,0,73,33,0,469,"550",187,576,61,298,31,932,503,0,544,94,10,839,165,694,289
"g0101210",2013,"alabama","talladega county",1,121,2013,263,29,69,208,70,47,2386,"589",1285,2093,258,919,112,5672,2449,0,1096,129,33,3686,1224,4329,1324
"g0101230",2013,"alabama","tallapoosa county",1,123,2013,79,37,10,113,122,272,1638,"585",741,822,100,634,87,2715,1597,0,666,186,6,1879,665,1775,659
"g0101250",2013,"alabama","tuscaloosa county",1,125,2013,488,77,32,565,128,56,3023,"762",1813,3443,477,1861,172,8159,4615,0,1429,283,73,5175,1554,5172,1744
"g0101270",2013,"alabama","walker county",1,127,2013,139,34,45,106,0,0,1790,"614",1298,1491,286,898,195,4926,2025,0,962,321,27,4228,1354,3625,1254
"g0101290",2013,"alabama","washington county",1,129,2013,62,12,0,18,0,0,391,"614",242,398,17,133,16,1661,687,0,316,43,0,749,412,840,297
"g0101310",2013,"alabama","wilcox county",1,131,2013,12,0,21,81,0,0,290,"395",325,602,8,245,3,1101,438,0,365,1,6,358,161,509,139
"g0101330",2013,"alabama","winston county",1,133,2013,81,2,14,27,6,0,788,"520",422,508,108,432,43,2132,1129,0,423,176,0,1430,509,1306,580
"g0200130",2013,"alaska","aleutians east borough",2,13,2013,5,2,0,7,1,0,3,"888",11,34,8,3,0,1159,75,0,6,0,17,105,12,38,11
"g0200160",2013,"alaska","aleutians west census area",2,16,2013,7,2,0,34,31,18,153,"1246",15,60,1,15,0,808,67,0,48,9,10,148,25,73,13
"g0200200",2013,"alaska","anchorage municipality",2,20,2013,1204,249,102,1841,857,130,355,"1142",643,4138,1257,1639,336,18916,4093,10,2549,746,419,7493,2242,6773,1780
"g0200500",2013,"alaska","bethel census area",2,50,2013,480,338,226,227,162,128,43,"1177",19,877,33,12,2,1979,316,0,453,6,22,480,210,280,163
"g0200600",2013,"alaska","bristol bay borough",2,60,2013,8,2,0,3,7,0,34,"1117",2,6,1,0,0,103,23,0,8,4,1,36,17,21,3
"g0200680",2013,"alaska","denali borough",2,68,2013,8,11,0,7,26,17,0,"837",11,12,16,0,2,234,32,0,1,5,0,70,19,15,8
"g0200700",2013,"alaska","dillingham census area",2,70,2013,108,43,9,56,31,14,11,"979",11,198,5,32,4,712,107,0,147,4,19,181,66,142,30
"g0200900",2013,"alaska","fairbanks north star borough",2,90,2013,577,124,155,515,248,47,500,"1179",166,1379,318,556,139,5375,1598,0,468,163,32,2373,863,2063,573
"g0201000",2013,"alaska","haines borough",2,100,2013,13,0,11,20,0,8,65,"828",5,60,2,42,0,394,43,0,68,4,0,192,40,52,48
"g0201050",2013,"alaska","hoonah-angoon census area",2,105,2013,10,5,0,5,0,0,135,"733",20,53,10,17,5,347,97,1,46,6,0,98,66,68,50
"g0201100",2013,"alaska","juneau city and borough",2,110,2013,239,37,0,162,86,21,1022,"1178",24,337,3,91,15,2148,328,0,198,27,44,815,184,597,238
"g0201220",2013,"alaska","kenai peninsula borough",2,122,2013,305,78,55,316,129,31,405,"917",332,805,413,504,111,6169,1370,6,704,327,26,2379,827,1682,574
"g0201300",2013,"alaska","ketchikan gateway borough",2,130,2013,50,11,16,87,27,0,613,"1022",75,291,50,71,44,1098,187,7,102,25,27,336,185,346,158
"g0201500",2013,"alaska","kodiak island borough",2,150,2013,77,70,0,95,45,14,54,"973",3,135,31,64,0,1645,306,0,59,2,20,294,168,323,54
"g0201640",2013,"alaska","lake and peninsula borough",2,164,2013,18,12,1,27,8,0,22,"768",7,39,3,8,2,264,35,0,17,6,10,75,36,47,18
"g0201700",2013,"alaska","matanuska-susitna borough",2,170,2013,647,298,113,442,150,29,287,"1026",326,1691,505,759,170,8126,1498,7,564,412,62,2646,933,2113,773
"g0201800",2013,"alaska","nome census area",2,180,2013,220,120,88,128,95,64,251,"1127",20,440,33,14,9,1162,226,0,183,6,13,290,113,204,108
"g0201850",2013,"alaska","north slope borough",2,185,2013,131,89,16,139,38,46,18,"1025",8,160,11,14,0,951,189,0,46,2,7,297,94,180,50
"g0201880",2013,"alaska","northwest arctic borough",2,188,2013,237,146,51,137,118,61,34,"1121",16,258,1,20,0,836,174,0,167,3,5,203,64,118,58
"g0201950",2013,"alaska","petersburg census area",2,195,2013,38,2,0,7,5,9,212,"847",8,39,3,19,6,464,145,0,31,10,0,129,49,111,42
"g0201980",2013,"alaska","prince of wales-hyder census area",2,198,2013,73,13,17,43,26,3,129,"761",47,155,38,40,13,1090,232,0,83,8,1,252,103,152,57
"g0202200",2013,"alaska","sitka city and borough",2,220,2013,53,20,0,22,18,0,188,"1139",20,249,37,57,0,669,183,0,49,7,16,242,69,156,95
"g0202300",2013,"alaska","skagway municipality",2,230,2013,2,0,0,1,9,0,96,"1057",2,1,3,2,0,176,19,0,1,2,0,13,7,15,7
"g0202400",2013,"alaska","southeast fairbanks census area",2,240,2013,76,17,9,46,3,33,62,"1175",26,145,65,26,21,855,174,22,106,1,30,311,133,147,103
"g0202610",2013,"alaska","valdez-cordova census area",2,261,2013,102,22,13,22,59,5,191,"871",4,108,16,32,7,1221,196,0,97,32,0,256,101,143,21
"g0202700",2013,"alaska","wade hampton census area",2,270,2013,281,221,173,77,65,98,7,"666",4,481,1,17,11,900,77,0,221,0,23,250,69,157,78
"g0202750",2013,"alaska","wrangell city and borough",2,275,2013,4,1,0,2,2,0,193,"772",5,54,30,25,3,349,78,0,39,16,0,77,85,111,92
"g0202820",2013,"alaska","yakutat city and borough",2,282,2013,1,10,0,6,1,0,5,"972",5,5,3,2,3,66,19,0,3,0,1,11,11,3,2
"g0202900",2013,"alaska","yukon-koyukuk census area",2,290,2013,112,55,8,56,30,22,61,"669",21,184,15,22,4,1107,225,0,186,16,24,249,151,203,74
"g0400010",2013,"arizona","apache county",4,1,2013,1104,674,484,406,111,76,771,"536",449,6709,185,763,54,7122,2600,15,2704,292,374,2182,1287,2421,1068
"g0400030",2013,"arizona","cochise county",4,3,2013,506,120,45,536,112,123,4457,"778",684,4659,726,884,370,7175,4650,21,1572,649,108,4493,2122,3892,1842
"g0400050",2013,"arizona","coconino county",4,5,2013,1049,484,314,837,555,214,1441,"996",802,4141,309,779,57,10052,2854,17,1653,255,219,3486,973,3074,1063
"g0400070",2013,"arizona","gila county",4,7,2013,343,88,20,182,34,59,1895,"743",540,2863,309,284,29,4086,3214,20,792,462,94,1980,886,1822,938
"g0400090",2013,"arizona","graham county",4,9,2013,265,107,35,319,38,11,877,"711",197,1426,139,154,84,1752,1264,0,325,187,21,762,470,943,362
"g0400110",2013,"arizona","greenlee county",4,11,2013,38,22,0,207,18,0,551,"381",74,238,31,54,19,352,211,0,46,39,6,179,134,257,102
"g0400120",2013,"arizona","la paz county",4,12,2013,204,44,36,365,156,9,121,"553",119,1156,137,155,133,1857,1051,10,190,458,9,569,443,813,536
"g0400130",2013,"arizona","maricopa county",4,13,2013,13705,3210,1180,27800,10125,3690,16899,"943",19484,106469,9211,17040,3571,271941,146439,201,29880,10338,6027,73886,28904,80486,32051
"g0400150",2013,"arizona","mohave county",4,15,2013,661,136,44,1126,468,68,1073,"803",1866,9386,1203,2143,695,16540,12382,36,2256,1732,233,7453,4133,7457,3575
"g0400170",2013,"arizona","navajo county",4,17,2013,1236,689,326,580,292,173,1677,"668",825,8612,535,819,378,8267,4237,12,2135,495,177,4445,1803,4375,1571
"g0400190",2013,"arizona","pima county",4,19,2013,4232,959,276,6414,2280,441,10480,"798",5772,36384,4074,6337,1631,60518,43740,120,9532,4652,1580,25321,9714,26191,9774
"g0400210",2013,"arizona","pinal county",4,21,2013,1778,300,93,1884,475,66,1660,"966",2489,13136,1434,2119,722,23030,14831,32,3161,1629,529,8597,4409,8867,3646
"g0400230",2013,"arizona","santa cruz county",4,23,2013,219,80,48,237,113,31,1345,"630",70,2620,84,151,0,4888,2102,59,1445,191,168,632,345,671,602
"g0400250",2013,"arizona","yavapai county",4,25,2013,682,283,76,1154,420,76,3804,"847",1897,7719,2356,1958,741,16763,12159,144,1667,2506,115,8310,3662,6757,3127
"g0400270",2013,"arizona","yuma county",4,27,2013,2179,385,378,1470,282,264,1701,"827",952,6962,441,701,100,17763,7265,14,2980,657,265,3360,2434,3332,2165
"g0500010",2013,"arkansas","arkansas county",5,1,2013,23,30,0,53,1,0,821,"631",276,392,40,213,70,1408,926,0,259,142,11,815,317,715,266
"g0500030",2013,"arkansas","ashley county",5,3,2013,70,18,10,39,2,0,358,"572",340,605,33,359,63,1606,1174,7,429,96,4,1022,433,897,394
"g0500050",2013,"arkansas","baxter county",5,5,2013,89,23,0,84,35,15,894,"592",740,454,347,628,102,2983,2804,0,569,330,0,1889,883,1671,794
"g0500070",2013,"arkansas","benton county",5,7,2013,681,243,2,900,258,159,2948,"774",1738,1985,636,1315,288,14854,7578,0,1496,912,208,4457,1693,4881,1752
"g0500090",2013,"arkansas","boone county",5,9,2013,94,46,4,207,63,20,1517,"587",575,628,207,475,105,3298,1593,0,421,202,9,1617,801,1515,602
"g0500110",2013,"arkansas","bradley county",5,11,2013,141,47,0,45,22,17,388,"606",202,217,7,237,30,1317,662,0,257,69,2,537,227,497,221
"g0500130",2013,"arkansas","calhoun county",5,13,2013,0,0,0,0,0,0,251,"593",96,86,4,133,9,398,242,0,193,56,0,379,151,324,126
"g0500150",2013,"arkansas","carroll county",5,15,2013,59,46,0,108,20,0,1738,"600",645,270,353,162,125,2519,1360,0,336,227,40,1222,509,1059,405
"g0500170",2013,"arkansas","chicot county",5,17,2013,24,0,0,50,42,0,525,"513",197,542,62,247,11,1149,537,22,321,106,0,510,238,666,250
"g0500190",2013,"arkansas","clark county",5,19,2013,41,32,4,26,2,14,902,"588",174,381,78,277,31,1438,678,14,213,110,20,942,391,805,358
"g0500210",2013,"arkansas","clay county",5,21,2013,69,36,0,15,12,6,748,"463",272,301,61,233,25,1557,718,0,366,84,0,757,326,790,444
"g0500230",2013,"arkansas","cleburne county",5,23,2013,72,19,0,134,77,19,496,"662",454,454,138,241,80,2432,1322,0,418,207,9,921,608,914,481
"g0500250",2013,"arkansas","cleveland county",5,25,2013,16,0,4,0,0,16,233,"620",158,231,32,158,9,730,411,18,136,51,13,443,107,371,130
"g0500270",2013,"arkansas","columbia county",5,27,2013,114,10,0,62,6,20,956,"573",354,493,104,364,12,1459,835,11,384,286,0,1032,410,1056,343
"g0500290",2013,"arkansas","conway county",5,29,2013,144,13,0,101,17,0,711,"613",306,442,74,418,19,1390,1190,5,228,115,0,895,226,1030,289
"g0500310",2013,"arkansas","craighead county",5,31,2013,268,0,7,540,144,11,1565,"648",1061,1680,471,939,248,6585,2520,0,708,267,3,2779,1089,3144,1144
"g0500330",2013,"arkansas","crawford county",5,33,2013,240,113,0,359,85,29,938,"581",1038,1324,330,548,146,4621,2200,4,906,330,52,2590,824,2260,889
"g0500350",2013,"arkansas","crittenden county",5,35,2013,185,3,16,436,86,27,791,"693",642,1623,276,637,81,3632,1538,0,1003,135,0,1690,528,1996,666
"g0500370",2013,"arkansas","cross county",5,37,2013,34,0,0,34,0,2,650,"641",173,519,50,229,29,1785,777,0,443,59,7,883,351,749,339
"g0500390",2013,"arkansas","dallas county",5,39,2013,54,0,5,0,0,0,311,"454",155,92,31,155,69,767,353,0,178,45,0,500,159,323,238
"g0500410",2013,"arkansas","desha county",5,41,2013,9,14,0,70,8,0,571,"553",345,286,28,407,16,1277,473,0,371,91,28,643,234,477,275
"g0500430",2013,"arkansas","drew county",5,43,2013,29,12,0,22,53,42,528,"599",207,435,87,258,51,1520,860,0,263,37,0,884,213,668,237
"g0500450",2013,"arkansas","faulkner county",5,45,2013,204,62,16,355,105,8,1184,"713",1071,1230,393,850,145,5970,2798,45,768,345,24,3062,1048,3335,916
"g0500470",2013,"arkansas","franklin county",5,47,2013,43,13,11,11,0,13,830,"572",286,467,51,264,37,1473,886,0,281,228,7,792,293,707,373
"g0500490",2013,"arkansas","fulton county",5,49,2013,73,0,0,65,13,0,500,"469",234,300,87,153,16,1182,688,0,245,168,25,546,392,501,375
"g0500510",2013,"arkansas","garland county",5,51,2013,300,42,6,494,239,11,3332,"717",1106,1983,625,1061,238,9034,4088,0,873,503,32,3561,1499,3690,1749
"g0500530",2013,"arkansas","grant county",5,53,2013,91,4,2,36,0,0,220,"715",227,267,45,124,33,973,770,0,154,108,0,664,304,565,294
"g0500550",2013,"arkansas","greene county",5,55,2013,67,0,19,122,24,0,923,"634",816,723,228,638,159,3596,1589,0,430,139,0,1862,533,2116,696
"g0500570",2013,"arkansas","hempstead county",5,57,2013,142,0,0,37,0,0,875,"573",272,477,72,117,17,1732,832,0,280,106,41,849,331,1116,294
"g0500590",2013,"arkansas","hot spring county",5,59,2013,42,19,0,44,52,6,761,"632",482,589,171,471,55,2550,1213,0,376,259,0,1446,684,1773,510
"g0500610",2013,"arkansas","howard county",5,61,2013,26,31,0,109,5,0,457,"552",189,216,49,183,0,1293,522,0,86,100,0,477,178,516,193
"g0500630",2013,"arkansas","independence county",5,63,2013,53,50,0,191,60,31,949,"589",665,726,145,472,106,2918,1478,0,353,205,6,1620,475,1432,423
"g0500650",2013,"arkansas","izard county",5,65,2013,83,5,17,35,0,0,499,"530",290,304,68,241,63,1497,581,0,168,221,2,668,370,679,269
"g0500670",2013,"arkansas","jackson county",5,67,2013,22,17,4,42,17,12,583,"536",294,403,76,334,5,1706,884,0,296,73,14,752,382,884,327
"g0500690",2013,"arkansas","jefferson county",5,69,2013,176,79,0,199,22,3,1623,"650",1056,2155,477,887,194,4678,2763,0,1194,385,10,2778,1009,3287,1096
"g0500710",2013,"arkansas","johnson county",5,71,2013,71,32,24,94,27,40,731,"600",367,533,108,272,46,1789,1375,0,320,56,10,868,378,995,338
"g0500730",2013,"arkansas","lafayette county",5,73,2013,11,0,0,2,2,0,538,"472",117,309,84,126,38,835,399,0,212,39,0,397,189,513,159
"g0500750",2013,"arkansas","lawrence county",5,75,2013,85,0,3,36,5,1,692,"516",341,472,168,270,40,1721,701,0,272,148,14,874,308,761,210
"g0500770",2013,"arkansas","lee county",5,77,2013,0,0,0,0,17,0,403,"538",110,343,48,316,39,955,509,0,369,22,0,410,238,435,172
"g0500790",2013,"arkansas","lincoln county",5,79,2013,41,0,14,73,40,0,310,"567",234,161,75,145,27,1084,417,0,210,23,0,357,196,540,210
"g0500810",2013,"arkansas","little river county",5,81,2013,37,0,4,18,11,0,212,"502",340,234,41,182,18,1174,385,0,137,61,18,546,220,426,320
"g0500830",2013,"arkansas","logan county",5,83,2013,53,5,0,21,57,0,1132,"511",531,437,111,464,46,1560,1095,6,301,198,45,1219,441,952,398
"g0500850",2013,"arkansas","lonoke county",5,85,2013,213,29,15,152,99,104,819,"688",451,746,282,479,200,4561,1837,0,483,155,0,2310,779,2123,807
"g0500870",2013,"arkansas","madison county",5,87,2013,85,21,0,36,0,0,598,"584",142,168,106,245,60,1721,848,10,380,203,19,537,456,688,288
"g0500890",2013,"arkansas","marion county",5,89,2013,76,0,10,65,0,12,494,"558",345,339,205,225,70,1693,796,0,172,325,0,1183,322,1033,458
"g0500910",2013,"arkansas","miller county",5,91,2013,167,0,0,250,46,25,1293,"680",664,813,118,440,121,3746,1464,0,533,244,20,1869,608,1599,490
"g0500930",2013,"arkansas","mississippi county",5,93,2013,195,10,0,191,26,26,988,"616",660,1272,134,680,85,3644,1253,9,808,275,56,2449,710,1847,735
"g0500950",2013,"arkansas","monroe county",5,95,2013,56,0,0,11,0,0,380,"517",95,323,54,255,36,749,373,0,251,45,0,454,107,486,157
"g0500970",2013,"arkansas","montgomery county",5,97,2013,31,6,0,21,24,3,411,"569",112,205,83,78,17,1173,698,0,230,209,8,634,274,564,304
"g0500990",2013,"arkansas","nevada county",5,99,2013,21,0,0,33,0,0,338,"614",73,162,59,200,29,725,410,0,122,28,67,522,234,431,228
"g0501010",2013,"arkansas","newton county",5,101,2013,34,6,0,0,0,0,399,"332",111,157,127,77,11,975,562,0,221,30,23,422,149,414,200
"g0501030",2013,"arkansas","ouachita county",5,103,2013,39,0,0,115,22,12,814,"566",513,769,88,491,81,1814,1106,0,516,133,0,1359,403,1285,461
"g0501050",2013,"arkansas","perry county",5,105,2013,111,1,0,59,13,0,254,"585",226,251,85,50,74,768,469,0,147,43,0,481,267,625,127
"g0501070",2013,"arkansas","phillips county",5,107,2013,29,39,0,212,52,0,665,"586",338,753,84,534,1,1734,1011,19,562,29,0,1122,389,1266,453
"g0501090",2013,"arkansas","pike county",5,109,2013,41,1,0,2,0,0,518,"486",173,287,40,177,40,1192,629,0,173,59,0,654,294,579,340
"g0501110",2013,"arkansas","poinsett county",5,111,2013,31,20,14,253,63,12,724,"498",507,896,177,361,59,2690,1303,0,474,124,4,1072,410,1395,396
"g0501130",2013,"arkansas","polk county",5,113,2013,202,23,0,32,20,0,780,"526",228,451,189,274,108,2375,896,12,282,171,46,1371,460,976,381
"g0501150",2013,"arkansas","pope county",5,115,2013,276,41,0,199,34,4,984,"633",906,1067,213,692,60,4584,1901,12,690,270,11,2352,735,2237,670
"g0501170",2013,"arkansas","prairie county",5,117,2013,23,12,0,24,0,9,475,"477",204,119,33,182,25,864,485,0,340,75,6,475,251,397,229
